iter	RMSE
674	34149.30327
675	34061.05851
676	34023.32721
677	33974.75129
678	33938.04231
679	33890.15803
680	33836.21349
681	33787.06735
682	33747.69298
683	33709.38916
684	33681.75896
685	33642.66707
686	33592.21873
687	33553.30134
688	33522.76872
689	33471.40876
690	33427.18776
691	33340.92266
692	33322.25334
693	33292.4426
694	33240.41832
695	33212.2846
696	33166.2879
697	33146.82429
698	33118.69205
699	33040.61768
700	32987.1958
701	32950.7554
702	32899.03826
703	32879.01105
704	32803.86712
705	32769.3456
706	32726.27452
707	32702.9855
708	32652.99735
709	32621.2062
710	32601.09683
711	32552.60519
712	32521.99324
713	32486.70731
714	32460.25171
715	32409.26782
716	32363.17478
717	32307.15113
718	32256.36031
719	32207.24623
720	32187.96784
721	32153.49234
722	32085.43808
723	32063.931
724	32021.87455
725	31981.15738
726	31960.14705
727	31907.20776
728	31880.99539
729	31838.80096
730	31799.51647
731	31739.7979
732	31690.15343
733	31632.03953
734	31610.65918
735	31555.59514
736	31496.2057
737	31461.82331
738	31431.96023
739	31386.79535
740	31338.57229
741	31293.00353
742	31224.61141
743	31200.43669
744	31137.47638
745	31113.06109
746	31057.93957
747	31014.56628
748	31001.09229
749	30977.80358
750	30929.20753
751	30875.01081
752	30869.39972
753	30831.93255
754	30808.03312
755	30775.10822
756	30731.90178
757	30705.59695
758	30649.9373
759	30610.21854
760	30573.70653
761	30536.35268
762	30493.31635
763	30483.28423
764	30426.62004
765	30397.9283
766	30358.17993
767	30320.23545
768	30289.73975
769	30249.83598
770	30204.96793
771	30179.71139
772	30147.75744
773	30081.6593
774	30042.10008
775	29993.86068
776	29945.31491
777	29936.69571
778	29925.75635
779	29883.9111
780	29844.129
781	29798.95954
782	29764.70525
783	29736.50638
784	29728.50644
785	29675.69694
786	29638.26011
787	29630.37577
788	29601.81969
789	29582.26714
790	29521.20816
791	29479.14643
792	29456.36014
793	29406.63146
794	29405.9485
795	29348.86647
796	29315.4016
797	29262.74538
798	29226.34837
799	29196.36003
800	29148.18821
801	29117.73443
802	29071.30431
803	29026.80118
804	29013.27062
805	28981.74071
806	28951.51565
807	28928.27796
808	28908.5288
809	28875.58712
810	28829.77566
811	28810.73882
812	28762.64432
813	28748.07046
814	28703.25554
815	28668.599
816	28615.09659
817	28584.95688
818	28529.38917
819	28485.08742
820	28452.85914
821	28426.43237
822	28404.58549
823	28388.14544
824	28352.05099
825	28310.28194
826	28262.28449
827	28227.50485
828	28218.96724
829	28195.74377
830	28177.33562
831	28148.22676
832	28124.65106
833	28103.74394
834	28066.40746
835	28030.45259
836	28012.36433
837	27970.98129
838	27917.20155
839	27876.74485
840	27861.06281
841	27833.81329
842	27808.61988
843	27772.40406
844	27729.65889
845	27697.44725
846	27657.33815
847	27623.73417
848	27600.19417
849	27559.50531
850	27549.86162
851	27532.2708
852	27482.53958
853	27442.51688
854	27440.89648
855	27415.8855
856	27383.17949
857	27357.88928
858	27336.79282
859	27309.25246
860	27273.08698
861	27238.96651
862	27204.00627
863	27162.86702
864	27131.19908
865	27091.1806
866	27054.79646
867	27018.67276
868	26985.23689
869	26964.88672
870	26930.31799
871	26904.09371
872	26870.29628
873	26824.85442
874	26800.42552
875	26779.29047
876	26757.96401
877	26719.75376
878	26690.13502
879	26643.01433
880	26638.77727
881	26633.23134
882	26594.82952
883	26555.937
884	26523.10756
885	26521.21843
886	26509.13696
887	26475.04174
888	26434.76924
889	26392.87109
