iter	MultiClass
0	1.068571114
1	1.040066124
2	1.014182491
3	0.9926278628
4	0.9712828168
5	0.953425606
6	0.9369578675
7	0.9210083621
8	0.9069202246
9	0.8951867575
10	0.8835090191
11	0.8725875994
12	0.862296498
13	0.8529394362
14	0.8450806618
15	0.8371949698
16	0.8299111036
17	0.8231720161
18	0.8168675239
19	0.8111263886
20	0.8059141234
21	0.8009519886
22	0.7963662125
23	0.7923942326
24	0.7887933915
25	0.7852213487
26	0.7817635453
27	0.778574845
28	0.7755416552
29	0.7726322823
30	0.769535547
31	0.7668979664
32	0.7644786824
33	0.761647378
34	0.7593609148
35	0.7570776225
36	0.7552729837
37	0.7534373232
38	0.7519758971
39	0.7500262736
40	0.7487861908
41	0.7470255039
42	0.7454558952
43	0.7441358062
44	0.7431036285
45	0.7416918257
46	0.740532409
47	0.739518206
48	0.7386100286
49	0.7376051832
50	0.736649726
51	0.7358793515
52	0.7351068471
53	0.7345428267
54	0.7339258422
55	0.7333460626
56	0.7326334075
57	0.7319909814
58	0.7311457539
59	0.7306366048
60	0.7303846321
61	0.7295689604
62	0.7290887336
63	0.7287886818
64	0.728259606
65	0.727603439
66	0.7272065902
67	0.7268489666
68	0.7265505916
69	0.7264139989
70	0.7261906236
71	0.7258842671
72	0.7253314203
73	0.7250357781
74	0.7248304643
75	0.7247014433
76	0.7244483143
77	0.7240450987
78	0.7236098023
79	0.7233145538
80	0.7230049557
81	0.7225557733
82	0.7223186694
83	0.7220364427
84	0.7217586725
85	0.7215312385
86	0.7212238735
87	0.7209801927
88	0.7207106666
89	0.7203460327
90	0.7202075012
91	0.7199260124
92	0.7197555239
93	0.7195552736
94	0.7193000732
95	0.71892758
96	0.7186966302
97	0.718601561
98	0.7182645748
99	0.7180915591
100	0.7179667946
101	0.7176405518
102	0.7174839269
103	0.7173136696
104	0.7170394728
105	0.716796304
106	0.7165620188
107	0.7162557162
108	0.7160361955
109	0.715887601
110	0.7157357064
111	0.7155854171
112	0.71544399
113	0.7152465937
114	0.7151164629
115	0.7149996545
116	0.7147813162
117	0.7146663748
118	0.7144671425
119	0.7142729822
120	0.7141282825
121	0.7139609901
122	0.713756964
123	0.7136372482
124	0.7134998946
125	0.7133517499
126	0.7132817427
127	0.713005239
128	0.7129485144
129	0.7126253717
130	0.7122644776
131	0.7122009785
132	0.7120485027
133	0.7119212034
134	0.711711491
135	0.7115894523
136	0.7113952909
137	0.7112638681
138	0.7111652238
139	0.7108865267
140	0.7107731375
141	0.7105945961
142	0.7105499585
143	0.7103580397
144	0.7102785046
145	0.7101826079
146	0.7100731674
147	0.7099541612
148	0.7097918043
149	0.7097266648
150	0.7095242135
151	0.709469954
152	0.7093766019
153	0.7092518984
154	0.7091985018
155	0.7090300424
156	0.7089437365
157	0.708824604
158	0.7087937398
159	0.7087909634
160	0.7086848856
161	0.708600574
162	0.7085203404
163	0.7084254637
164	0.7083540238
165	0.7081748981
166	0.7079340386
167	0.7077829464
168	0.7075942342
169	0.7074871915
170	0.7074311411
171	0.7072824141
172	0.7072329753
173	0.7071654416
174	0.7069851605
175	0.7068010245
176	0.7066979508
177	0.7066690157
178	0.7065322296
179	0.7063954104
180	0.7063278248
181	0.7061817032
182	0.7060073134
183	0.7059499505
184	0.7058612974
185	0.705773368
186	0.7055887208
187	0.705484983
188	0.7053899493
189	0.7052941445
190	0.7051332384
191	0.7049847544
192	0.7048452724
193	0.7047774646
194	0.7046762875
195	0.7045473741
196	0.704535434
197	0.7043890067
198	0.7042470843
199	0.704061889
200	0.7038829846
201	0.7036792085
202	0.7035430418
203	0.7034321843
204	0.7032282251
205	0.7030905839
206	0.7030205408
207	0.7028321704
208	0.7026792088
209	0.702565733
210	0.7024230338
211	0.7022230988
212	0.7021216873
213	0.7019744873
214	0.701804054
215	0.7017289724
216	0.7016551211
217	0.7015824628
218	0.7014705433
219	0.7013189124
220	0.7012381457
221	0.7010495433
222	0.7009245966
223	0.7008072608
224	0.7006855247
225	0.7006385507
226	0.7004907063
227	0.7003695808
228	0.7002060716
229	0.700114915
230	0.6998372545
231	0.6997289943
232	0.699616889
233	0.6994898684
234	0.6994188633
235	0.6992568384
236	0.6990941013
237	0.6990084461
238	0.6988912325
239	0.6987753585
240	0.6986870671
241	0.6985515012
242	0.6983708118
243	0.6982996203
244	0.6982245915
245	0.6981412239
246	0.6980667959
247	0.697982843
248	0.6978715694
249	0.6977062092
250	0.6975582802
251	0.697511784
252	0.6973767912
253	0.6972510262
254	0.6971895702
255	0.6970750184
256	0.6970249048
257	0.6969126014
258	0.6968159933
259	0.6966549476
260	0.6965297536
261	0.696306074
262	0.696271077
263	0.696192729
264	0.6961440705
265	0.696095526
266	0.6960049799
267	0.695928402
268	0.6958397611
269	0.6958273277
270	0.6957403817
271	0.6957082456
272	0.6956288874
273	0.6954604375
274	0.6953770746
275	0.695263596
276	0.6951024111
277	0.695008445
